Time (s),T0 (C),U_T0 (C),T1 (C),U_T1 (C),T2 (C),U_T2 (C),T3 (C),U_T3 (C),T4 (C),U_T4 (C),T5 (C),U_T5 (C),T6 (C),U_T6 (C),T7 (C),U_T7 (C),T8 (C),U_T8 (C),T9 (C),U_T9 (C),T10 (C),U_T10 (C),T12 (C),U_T12 (C),T13 (C),U_T13 (C),HFG_Floor_(kW.m-2),U_HFG_Floor_(kW.m-2),Press_(Pa),U_Press_(Pa),Phi_G_UP,U_Phi_G_UP,Phi_G_DOWN,U_Phi_G_DOWN,Phi_L_UP,U_Phi_L_UP,Phi_L_DOWN,U_Phi_L_DOWN,Upper_X_Fuel,U_Upper_X_Fuel,Upper_X_O2,U_Upper_X_O2,Upper_X_CO2,U_Upper_X_CO2,Upper_X_H2O,U_Upper_X_H2O,Upper_X_CO,U_Upper_X_CO,Upper_X_N2,U_Upper_X_N2,Lower_X_Fuel,U_Lower_X_Fuel,Lower_X_O2,U_Lower_X_O2,Lower_X_CO2,U_Lower_X_CO2,Lower_X_H2O,U_Lower_X_H2O,Lower_X_CO,U_Lower_X_CO,Lower_X_N2,U_Lower_X_N2
60,248.2788,42.7829,134.4651,26.8716,69.4676,14.9516,58.9587,12.3477,170.2896,33.587,49.8795,11.5816,254.1711,48.3269,61.2488,13.926,33.6838,8.3161,29.7184,6.8828,22.9727,4.273,92.8545,18.9132,86.2575,18.5082,1.9791,0.4306,-1.8242,2.6009,0.348,0.1238,0.1021,0.0652,0.1694,0.1372,0.082,0.0596,0,0,0.1528,0.0253,0.0383,0.0248,0.0566,0.0393,0.001,0.0002,0.8214,0.1888,0.0008,0.0015,0.2065,0.0335,0.0005,0.0001,0.0004,0.0002,0,0,0.7802,0.1267
61,249.573,42.752,136.7927,27.4927,70.2603,14.9836,59.3097,12.3172,172.3867,33.7151,50.3355,11.6306,257.0787,48.5197,61.8758,13.9764,33.68,8.3154,29.7178,6.883,22.973,4.2728,92.8573,18.9115,86.2582,18.5124,2.0614,0.4459,126.0854,73.7723,0.3639,0.1801,0.0827,0.0588,0.187,0.1284,0.0987,0.0678,0,0,0.1527,0.0253,0.0383,0.0249,0.0567,0.0394,0.001,0.0002,0.8214,0.189,0.0007,0.0014,0.2065,0.0335,0.0005,0.0001,0.0004,0.0002,0,0,0.7804,0.1268
62,252.3115,43.2366,145.1347,29.19,71.6001,15.3992,59.7916,12.3659,174.5251,33.9733,50.8539,11.7331,260.1175,48.9103,62.5476,14.0871,33.6842,8.3142,29.7181,6.8831,22.9741,4.2731,92.8574,18.9104,86.2575,18.5109,2.1683,0.4728,133.648,38.2736,0.312,0.1333,0.0949,0.0628,0.1714,0.1433,0.1203,0.0632,0,0,0.1526,0.0253,0.0383,0.0248,0.0567,0.0394,0.001,0.0002,0.8214,0.189,0.0008,0.0015,0.2066,0.0336,0.0005,0.0001,0.0004,0.0002,0,0,0.7806,0.1268
63,254.6624,43.5951,155.564,29.745,74.1434,15.9798,60.8189,12.5947,176.4961,34.0958,51.3935,11.7987,263.0351,49.2751,63.2088,14.1452,33.6832,8.3141,29.7187,6.8814,22.976,4.2728,92.8606,18.9098,86.2586,18.5112,2.2397,0.4698,119.5281,33.5817,0.3274,0.1486,0.0954,0.0614,0.19,0.1316,0.1293,0.0655,0,0,0.1525,0.0253,0.0384,0.0248,0.0568,0.0393,0.001,0.0002,0.8212,0.1889,0.0007,0.0014,0.2066,0.0336,0.0005,0.0001,0.0004,0.0002,0,0,0.7808,0.1269
64,257.1001,44.0916,164.8103,31.0618,76.9162,16.5242,62.1887,12.9326,178.242,34.2505,51.9064,11.871,265.8438,49.5966,63.822,14.2172,33.6811,8.3136,29.7187,6.881,22.9756,4.274,92.8569,18.9108,86.2574,18.5107,2.3431,0.4873,88.8132,22.7641,0.3562,0.1253,0.0991,0.0555,0.2048,0.1282,0.1171,0.0651,0,0,0.1523,0.0252,0.0385,0.0248,0.0569,0.0393,0.001,0.0002,0.8208,0.189,0.0007,0.0013,0.2066,0.0336,0.0006,0.0001,0.0004,0.0002,0,0,0.781,0.1269
65,260.42,44.5065,176.2521,32.563,81.1379,17.5738,63.8433,13.2606,180.3597,34.4937,52.5454,11.9672,269.1916,49.8875,64.568,14.3252,33.6822,8.3111,29.7182,6.8803,22.9756,4.2735,92.8581,18.9121,86.2572,18.5115,2.413,0.4869,82.8223,27.1136,0.3325,0.1667,0.0853,0.0629,0.202,0.1302,0.1361,0.0726,0,0,0.1518,0.0252,0.0387,0.0249,0.0573,0.0394,0.001,0.0002,0.8204,0.1895,0.0006,0.0012,0.2066,0.0336,0.0007,0.0002,0.0005,0.0003,0,0,0.7815,0.127
66,263.6853,44.8714,185.8311,33.8029,85.128,18.0067,65.3681,13.4812,182.4781,34.6537,53.2215,12.0571,272.7351,50.2535,65.352,14.4153,33.6834,8.3112,29.7202,6.8816,22.9794,4.2739,92.861,18.9123,86.2596,18.5105,2.4607,0.5148,64.0919,20.8302,0.3249,0.1238,0.0835,0.0657,0.2371,0.2352,0.1361,0.0736,0,0,0.1512,0.0251,0.0391,0.025,0.0578,0.0398,0.001,0.0002,0.8204,0.1901,0.0004,0.0009,0.2066,0.0336,0.0009,0.0003,0.0006,0.0005,0,0,0.7826,0.1272
67,267.3265,45.5966,193.3056,34.9137,91.3298,19.3733,67.1431,13.9962,184.9752,35.0094,54.0399,12.2326,276.6911,50.8603,66.2927,14.5891,33.6831,8.3104,29.7216,6.8808,22.9825,4.2745,92.8623,18.9122,86.259,18.5105,2.5399,0.5202,46.7482,12.7652,0.3178,0.138,0.0975,0.0673,0.203,0.135,0.134,0.0769,0,0,0.1503,0.0249,0.0396,0.0254,0.0587,0.0404,0.001,0.0002,0.8204,0.1916,0.0001,0.0005,0.2064,0.0335,0.0013,0.0005,0.0011,0.0008,0,0,0.7845,0.1275
68,270.1214,46.0575,197.7724,35.1924,98.7048,20.4424,68.6287,14.2616,187.1129,35.1961,54.7566,12.3361,279.9255,51.2483,67.1155,14.6761,33.68,8.3077,29.7198,6.8791,22.9826,4.2758,92.8596,18.9117,86.2603,18.5091,2.6436,0.5439,42.2504,12.5317,0.3678,0.1508,0.1232,0.0689,0.2667,0.1991,0.1154,0.0755,0,0,0.1493,0.0248,0.0403,0.0258,0.0598,0.0412,0.001,0.0002,0.821,0.1934,0,0.0001,0.2059,0.0334,0.002,0.0008,0.0021,0.0011,0,0,0.7874,0.128
69,272.1447,46.2457,202.9407,35.6936,105.7485,21.8423,70.0791,14.5733,189.0693,35.4551,55.4554,12.4523,282.9842,51.6099,67.9285,14.8094,33.6808,8.3077,29.7197,6.8793,22.9844,4.2759,92.8619,18.9117,86.26,18.5087,2.7109,0.5508,38.0222,11.6087,0.3291,0.1432,0.1178,0.0658,0.1717,0.1457,0.1399,0.0812,0,0,0.148,0.0246,0.0411,0.0263,0.0611,0.0422,0.001,0.0002,0.8212,0.1956,0,0,0.2051,0.0333,0.0031,0.0011,0.0036,0.0015,0,0,0.7913,0.1287
