Time (s),T0 (C),U_T0 (C),T1 (C),U_T1 (C),T2 (C),U_T2 (C),T3 (C),U_T3 (C),T4 (C),U_T4 (C),T5 (C),U_T5 (C),T6 (C),U_T6 (C),T7 (C),U_T7 (C),T8 (C),U_T8 (C),T9 (C),U_T9 (C),T10 (C),U_T10 (C),T12 (C),U_T12 (C),T13 (C),U_T13 (C),HFG_Floor_(kW.m-2),U_HFG_Floor_(kW.m-2),Press_(Pa),U_Press_(Pa),Phi_G_UP,U_Phi_G_UP,Phi_G_DOWN,U_Phi_G_DOWN,Phi_L_UP,U_Phi_L_UP,Phi_L_DOWN,U_Phi_L_DOWN,Upper_X_Fuel,U_Upper_X_Fuel,Upper_X_O2,U_Upper_X_O2,Upper_X_CO2,U_Upper_X_CO2,Upper_X_H2O,U_Upper_X_H2O,Upper_X_CO,U_Upper_X_CO,Upper_X_N2,U_Upper_X_N2,Lower_X_Fuel,U_Lower_X_Fuel,Lower_X_O2,U_Lower_X_O2,Lower_X_CO2,U_Lower_X_CO2,Lower_X_H2O,U_Lower_X_H2O,Lower_X_CO,U_Lower_X_CO,Lower_X_N2,U_Lower_X_N2
60,312.5751,87.3365,199.2242,57.0368,90.223,26.579,70.4458,20.5219,211.7754,63.1103,58.7239,17.0981,324.9497,94.1452,71.9679,21.4238,35.3551,10.2105,31.5535,8.917,21.4074,6.2139,93.0681,25.8122,78.3376,21.9862,3.0026,0.9083,-0.6716,2.1978,0.4304,0.1937,0.0656,0.0695,0.1656,0.1694,0.0767,0.0659,0,0,0.1401,0.0426,0.026,0.0104,0.0576,0.023,0.001,0.0004,0.7302,0.2022,0,0,0.1977,0.0547,0.0008,0.0003,0.0012,0.0005,0.0001,0,0.7507,0.2078
61,314.5793,87.7564,201.2922,57.9887,91.287,26.944,71.3725,20.675,214.7192,63.9122,59.5193,17.3347,329.194,95.4615,73.0113,21.7523,35.353,10.2084,31.5547,8.9169,21.4134,6.2158,93.0735,25.8131,78.3394,21.9862,3.2248,0.9635,224.2461,98.0275,0.3798,0.1718,0.0854,0.0668,0.1468,0.1102,0.0954,0.045,0,0,0.14,0.0426,0.026,0.0104,0.0577,0.0231,0.001,0.0004,0.7304,0.2023,0,0,0.1978,0.0547,0.0008,0.0003,0.0012,0.0005,0.0001,0,0.751,0.2079
62,316.8291,88.3478,210.6059,60.742,94.4251,28.0164,72.2557,20.9591,216.9963,64.4057,60.1761,17.4895,332.4867,96.3132,73.8515,21.9555,35.3531,10.2099,31.5527,8.9174,21.4155,6.2162,93.0714,25.8132,78.3415,21.9868,3.3334,0.9984,217.2078,74.0884,0.4085,0.1857,0.0685,0.0621,0.1953,0.1358,0.1304,0.0612,0,0,0.1399,0.0426,0.0261,0.0105,0.0578,0.0232,0.001,0.0004,0.73,0.2022,0,0,0.1977,0.0547,0.0008,0.0003,0.0012,0.0006,0.0001,0,0.7509,0.2079
63,319.3034,88.9734,222.6448,63.746,99.4543,29.4765,73.4747,21.2066,219.5468,65.067,60.9923,17.704,336.5132,97.2758,74.8617,22.2209,35.3545,10.2111,31.5542,8.9173,21.4181,6.2179,93.075,25.8138,78.3426,21.9866,3.5448,1.0475,170.2679,62.0497,0.3787,0.178,0.1131,0.0692,0.2369,0.1601,0.1376,0.0743,0,0,0.1396,0.0426,0.0262,0.0105,0.058,0.0232,0.001,0.0004,0.7297,0.2021,0,0,0.1977,0.0547,0.0009,0.0003,0.0013,0.0006,0.0001,0,0.7512,0.2079
64,322.7432,89.9633,236.7851,67.3356,107.5363,32.0113,75.8875,22.1247,222.3239,65.6917,61.9703,17.9981,341.4806,98.5891,76.0054,22.5499,35.3494,10.2098,31.5493,8.916,21.419,6.2173,93.0718,25.813,78.3436,21.9872,3.7279,1.0919,128.9487,44.972,0.3039,0.193,0.0943,0.1102,0.1915,0.1135,0.1628,0.1017,0,0,0.139,0.0425,0.0264,0.0106,0.0584,0.0234,0.001,0.0004,0.7288,0.2019,0,0,0.1977,0.0547,0.001,0.0004,0.0016,0.0007,0.0001,0,0.7519,0.2081
65,326.6327,90.9733,248.3396,70.2055,116.5903,34.4419,78.3588,22.7733,225.0309,66.4596,62.947,18.2759,345.631,99.5092,77.1619,22.9038,35.3498,10.2093,31.5509,8.9156,21.4219,6.2189,93.0743,25.814,78.3443,21.987,3.8655,1.1364,115.1829,40.5428,0.2616,0.1411,0.0983,0.0669,0.2412,0.2317,0.1044,0.0622,0,0,0.1381,0.0424,0.0267,0.0107,0.0591,0.0237,0.001,0.0004,0.7277,0.2016,0,0,0.1974,0.0547,0.0013,0.0005,0.0022,0.001,0.0001,0,0.7533,0.2085
66,332.4754,92.7089,258.8731,72.863,128.7323,38.3668,81.5462,23.6843,228.1096,67.4,64.1289,18.6417,350.8607,100.7957,78.5717,23.3588,35.3514,10.2087,31.5518,8.916,21.4254,6.2193,93.0778,25.8147,78.3463,21.987,4.0728,1.2036,83.9115,31.7259,0.284,0.2045,0.0684,0.0723,0.2371,0.1968,0.1146,0.0882,0,0,0.1369,0.0422,0.0271,0.0109,0.0602,0.0241,0.001,0.0004,0.7268,0.2013,0,0,0.1969,0.0545,0.0019,0.0008,0.0034,0.0014,0.0001,0,0.756,0.2093
67,337.5114,93.8961,264.8338,74.2205,140.2481,40.5233,84.3065,24.3412,230.9316,67.9885,65.2268,18.8911,355.052,101.8044,79.8713,23.642,35.3469,10.2094,31.5506,8.9164,21.4242,6.2188,93.0756,25.8143,78.3457,21.9872,4.2857,1.2443,67.7533,23.2028,0.3201,0.1798,0.127,0.0802,0.2924,0.2042,0.1167,0.0699,0,0,0.1352,0.0421,0.0278,0.0111,0.0617,0.0247,0.001,0.0004,0.7253,0.201,0,0,0.1959,0.0542,0.003,0.0012,0.0056,0.0022,0.0001,0,0.7606,0.2106
68,341.28,95.0125,272.6008,76.6413,151.8453,43.4304,87.0107,25.0994,233.6742,68.8003,66.4027,19.2243,359.3756,102.8361,81.1904,24.0219,35.3522,10.2097,31.5534,8.9164,21.4322,6.2209,93.0798,25.8151,78.3511,21.9889,4.4211,1.2836,66.4663,25.007,0.3396,0.1796,0.1484,0.0903,0.2712,0.1827,0.1359,0.0794,0,0,0.133,0.0418,0.0286,0.0115,0.0636,0.0255,0.001,0.0004,0.7234,0.2005,0,0,0.1945,0.0539,0.0046,0.0017,0.0087,0.0031,0.0001,0,0.7668,0.2123
69,345.5127,96.228,279.0607,78.2369,160.089,45.5791,90.0245,26.0505,236.757,69.5178,67.8228,19.649,365.1502,104.5356,82.7679,24.4731,35.3477,10.2091,31.5492,8.9149,21.4337,6.2225,93.081,25.8158,78.351,21.9877,4.5959,1.332,40.3664,13.5911,0.3422,0.1807,0.1293,0.1254,0.2881,0.204,0.1144,0.0715,0,0,0.1303,0.0416,0.0297,0.0119,0.0661,0.0265,0.001,0.0004,0.7214,0.2,0,0,0.1925,0.0533,0.0065,0.0022,0.0127,0.0043,0.0001,0,0.7737,0.2142
