Time (s),T0 (C),U_T0 (C),T1 (C),U_T1 (C),T2 (C),U_T2 (C),T3 (C),U_T3 (C),T4 (C),U_T4 (C),T5 (C),U_T5 (C),T6 (C),U_T6 (C),T7 (C),U_T7 (C),T8 (C),U_T8 (C),T9 (C),U_T9 (C),T10 (C),U_T10 (C),T12 (C),U_T12 (C),T13 (C),U_T13 (C),HFG_Floor_(kW.m-2),U_HFG_Floor_(kW.m-2),Press_(Pa),U_Press_(Pa),Phi_G_UP,U_Phi_G_UP,Phi_G_DOWN,U_Phi_G_DOWN,Phi_L_UP,U_Phi_L_UP,Phi_L_DOWN,U_Phi_L_DOWN,Upper_X_Fuel,U_Upper_X_Fuel,Upper_X_O2,U_Upper_X_O2,Upper_X_CO2,U_Upper_X_CO2,Upper_X_H2O,U_Upper_X_H2O,Upper_X_CO,U_Upper_X_CO,Upper_X_N2,U_Upper_X_N2,Lower_X_Fuel,U_Lower_X_Fuel,Lower_X_O2,U_Lower_X_O2,Lower_X_CO2,U_Lower_X_CO2,Lower_X_H2O,U_Lower_X_H2O,Lower_X_CO,U_Lower_X_CO,Lower_X_N2,U_Lower_X_N2
60,186.9438,42.1826,108.1793,25.6078,55.235,13.1914,42.7075,10.4873,142.8037,32.8915,41.1805,10.1039,159.4807,36.3899,50.371,12.1579,31.9237,8.2996,27.375,7.4875,18.8644,4.471,73.5079,24.876,74.1543,24.9156,1.1923,0.2903,-2.045,3.1231,0.2008,0.0862,0.0869,0.0678,0.1202,0.0707,0.0823,0.0496,0,0,0.1678,0.0375,0.0178,0.0041,0.0255,0.0058,0.0008,0.0002,0.7486,0.1672,0.0015,0.001,0.1996,0.0446,0.0005,0.0001,0.0005,0.0004,0.0001,0,0.7541,0.1684
61,188.383,42.5584,109.9974,25.9672,55.6925,13.3235,42.9282,10.5299,144.3292,33.224,41.3901,10.1384,161.2126,36.7673,50.7236,12.2339,31.9199,8.2998,27.3753,7.4882,18.8653,4.4712,73.5248,24.8785,74.1521,24.907,1.2077,0.2858,89.9979,49.9625,0.2269,0.1034,0.0881,0.0544,0.1007,0.0545,0.1031,0.0655,0,0,0.1677,0.0375,0.0179,0.0041,0.0256,0.0059,0.0008,0.0002,0.7486,0.1672,0.0014,0.001,0.1997,0.0446,0.0005,0.0001,0.0005,0.0004,0.0001,0,0.7541,0.1684
62,190.3433,43.0204,114.5752,27.3474,56.2598,13.5003,43.1465,10.5145,145.6204,33.5092,41.5864,10.1846,162.7051,37.0939,51.049,12.31,31.9165,8.2999,27.3728,7.4885,18.8653,4.4716,73.5213,24.8794,74.1582,24.9126,1.2749,0.3048,73.8417,17.8898,0.2219,0.0977,0.0626,0.0421,0.1108,0.0639,0.115,0.0695,0,0,0.1676,0.0375,0.018,0.0041,0.0257,0.0059,0.0008,0.0002,0.7486,0.1672,0.0014,0.001,0.1997,0.0446,0.0005,0.0001,0.0005,0.0003,0.0001,0,0.7541,0.1684
63,191.8806,43.3173,122.3307,29.2942,57.7029,13.9615,43.587,10.6367,146.9866,33.8226,41.8413,10.2526,164.3971,37.4826,51.416,12.4013,31.9185,8.2975,27.3775,7.4874,18.8672,4.4725,73.5258,24.8706,74.1671,24.9087,1.2603,0.3045,69.8506,18.6601,0.2027,0.0765,0.0845,0.0472,0.1058,0.0711,0.1358,0.0606,0,0,0.1675,0.0374,0.018,0.0041,0.0257,0.0059,0.0008,0.0002,0.7484,0.1672,0.0015,0.001,0.1996,0.0446,0.0005,0.0001,0.0005,0.0004,0.0001,0,0.754,0.1684
64,193.9956,43.74,129.1829,30.4799,59.6691,14.4072,44.4019,10.7725,148.5093,34.1059,42.1366,10.3126,166.3665,37.9,51.8243,12.4839,31.9184,8.3004,27.3783,7.488,18.8684,4.4717,73.5274,24.8736,74.1702,24.9088,1.3189,0.3158,54.2988,15.7484,0.2134,0.0856,0.0664,0.0512,0.1307,0.0744,0.1138,0.0706,0,0,0.1674,0.0374,0.0181,0.0042,0.0258,0.0059,0.0008,0.0002,0.7484,0.1672,0.0014,0.001,0.1996,0.0446,0.0005,0.0001,0.0005,0.0004,0.0001,0,0.7541,0.1684
65,196.2178,44.1939,136.9998,31.8049,61.8612,14.8808,45.2683,10.9159,150.0531,34.3875,42.4322,10.3693,168.32,38.3009,52.2191,12.5519,31.9203,8.2987,27.3791,7.4884,18.8699,4.4724,73.534,24.8708,74.1747,24.9064,1.3559,0.3321,52.5863,14.0575,0.1948,0.0836,0.0758,0.0454,0.1293,0.0882,0.1198,0.0711,0,0,0.1671,0.0374,0.0181,0.0042,0.0259,0.006,0.0008,0.0002,0.748,0.1671,0.0012,0.0009,0.1996,0.0446,0.0005,0.0001,0.0004,0.0004,0.0001,0,0.7542,0.1685
66,198.6311,44.8064,143.7325,33.1085,64.1808,15.5165,46.0374,11.0968,151.6919,34.744,42.7672,10.4443,170.3474,38.7463,52.6386,12.6476,31.9178,8.297,27.3787,7.4873,18.8709,4.4721,73.5367,24.8717,74.1788,24.9072,1.3779,0.3354,46.955,14.2159,0.2098,0.0989,0.0773,0.0521,0.1416,0.1037,0.094,0.0606,0,0,0.1668,0.0373,0.0183,0.0042,0.0261,0.006,0.0008,0.0002,0.7477,0.167,0.0009,0.0008,0.1995,0.0446,0.0006,0.0002,0.0004,0.0004,0.0001,0,0.7545,0.1685
67,200.4777,45.2319,149.0625,34.1547,67.1439,16.4814,46.799,11.2929,153.3619,35.1231,43.113,10.5358,172.4855,39.2363,53.0889,12.7615,31.9182,8.296,27.3786,7.4865,18.8711,4.473,73.5428,24.8701,74.1826,24.9051,1.4257,0.3445,36.0348,10.6804,0.2082,0.0958,0.0604,0.0422,0.1062,0.0691,0.0996,0.0703,0,0,0.1664,0.0372,0.0185,0.0043,0.0264,0.0061,0.0008,0.0002,0.7473,0.1669,0.0003,0.0004,0.1994,0.0445,0.0009,0.0003,0.0006,0.0004,0.0001,0,0.7554,0.1687
68,203.146,45.7917,153.0382,34.9401,70.6355,17.3675,47.6719,11.503,155.1862,35.532,43.4872,10.6305,174.7495,39.7468,53.5836,12.8774,31.9163,8.2959,27.3805,7.488,18.8718,4.4728,73.544,24.8675,74.1877,24.9048,1.4552,0.3486,29.2093,9.4849,0.2196,0.0918,0.092,0.0459,0.1345,0.0895,0.0983,0.0544,0,0,0.1658,0.0371,0.0188,0.0043,0.0268,0.0062,0.0008,0.0002,0.7471,0.1669,0,0,0.1991,0.0445,0.0013,0.0005,0.0011,0.0006,0.0001,0,0.7569,0.1691
69,205.5318,46.2821,157.5457,35.8324,76.925,18.7716,48.5179,11.6841,157.0756,35.9144,43.8914,10.7144,177.0748,40.2256,54.118,12.988,31.9164,8.2944,27.381,7.484,18.8726,4.4722,73.5506,24.8687,74.1905,24.9027,1.5164,0.3643,28.8562,8.3462,0.2186,0.0917,0.0947,0.0591,0.1288,0.0672,0.0774,0.0418,0,0,0.1652,0.0369,0.0191,0.0044,0.0273,0.0063,0.0008,0.0002,0.7467,0.1668,0,0,0.1986,0.0444,0.0019,0.0007,0.0019,0.0008,0.0001,0,0.759,0.1695
70,208.3992,46.8937,161.3682,36.7356,81.7584,19.5439,49.3843,11.8421,158.8793,36.2621,44.2997,10.7919,179.4748,40.7177,54.6788,13.0901,31.9195,8.2947,27.3811,7.4851,18.8729,4.4727,73.5533,24.867,74.1974,24.9019,1.5468,0.3695,27.6116,9.3125,0.2296,0.0987,0.1082,0.0623,0.097,0.064,0.0894,0.0503,0,0,0.1643,0.0368,0.0195,0.0045,0.0279,0.0064,0.0008,0.0002,0.7459,0.1666,0,0,0.198,0.0442,0.0027,0.0009,0.003,0.0011,0.0001,0,0.7616,0.1701
71,210.6279,47.4196,164.6432,37.4915,86.2629,20.6725,50.1198,12.0428,160.5658,36.6283,44.6914,10.8877,181.7729,41.2277,55.2194,13.2302,31.9167,8.2936,27.3808,7.4849,18.8757,4.4733,73.5583,24.8667,74.1992,24.9021,1.595,0.3816,22.0653,7.4043,0.26,0.0838,0.1174,0.0616,0.0937,0.0689,0.0823,0.05,0,0,0.1635,0.0366,0.02,0.0046,0.0285,0.0065,0.0008,0.0002,0.7457,0.1666,0,0,0.1971,0.044,0.0036,0.0011,0.0042,0.0013,0.0001,0,0.7642,0.1707
72,213.4812,48.1568,166.6335,38.0368,90.8505,21.9409,51.0562,12.2853,162.4681,37.0581,45.1526,11.006,184.2262,41.7764,55.8321,13.3818,31.9167,8.294,27.3829,7.484,18.8738,4.4735,73.5619,24.8636,74.2047,24.8991,1.6351,0.392,18.8626,6.1615,0.2138,0.0823,0.102,0.0693,0.0736,0.0721,0.0923,0.0517,0,0,0.1624,0.0363,0.0205,0.0047,0.0293,0.0067,0.0008,0.0002,0.7451,0.1664,0,0,0.196,0.0438,0.0047,0.0013,0.0057,0.0016,0.0001,0,0.7668,0.1713
73,216.0925,48.7008,169.7747,38.7079,94.7903,22.6231,52.2332,12.5595,164.3974,37.4632,45.6535,11.1227,186.7618,42.3289,56.4789,13.523,31.9147,8.292,27.3806,7.4828,18.8757,4.4735,73.5641,24.8627,74.2081,24.8994,1.6778,0.3991,20.2699,7.4357,0.2277,0.087,0.0722,0.0514,0.1276,0.0698,0.0863,0.0666,0,0,0.1613,0.0361,0.0211,0.0048,0.0301,0.0069,0.0008,0.0002,0.7446,0.1663,0,0,0.1947,0.0435,0.0058,0.0015,0.0072,0.0019,0.0001,0,0.769,0.1718
74,218.6326,49.2459,172.8742,39.3459,98.1407,23.2216,53.4354,12.8689,166.3632,37.8733,46.1908,11.2432,189.4281,42.907,57.1658,13.6685,31.9162,8.2935,27.3831,7.4837,18.8757,4.4732,73.5672,24.8632,74.2116,24.8989,1.7149,0.4083,17.0694,6.1388,0.2483,0.0785,0.1191,0.0672,0.109,0.0679,0.0836,0.0514,0,0,0.1601,0.0358,0.0217,0.005,0.0311,0.0071,0.0009,0.0002,0.7443,0.1662,0,0,0.1932,0.0432,0.0069,0.0017,0.0088,0.0022,0.0001,0,0.7706,0.1721
75,221.2089,49.764,175.8397,39.8806,102.276,23.8934,54.6006,13.0863,168.4686,38.2923,46.7743,11.3612,192.2668,43.4928,57.9083,13.8103,31.9192,8.2935,27.3832,7.4823,18.8785,4.4746,73.5748,24.8627,74.2204,24.8989,1.769,0.4216,14.7231,4.9889,0.2485,0.0874,0.1194,0.0752,0.0931,0.0792,0.0971,0.0547,0,0,0.1589,0.0355,0.0224,0.0051,0.032,0.0073,0.0009,0.0002,0.7438,0.1661,0,0,0.1916,0.0428,0.0081,0.002,0.0103,0.0025,0.0001,0,0.7716,0.1724
76,223.7658,50.2863,178.0868,40.4562,106.7619,24.9329,55.6806,13.3503,170.2651,38.7082,47.3024,11.4978,194.6583,44.0431,58.5698,13.986,31.9188,8.2934,27.3823,7.4838,18.879,4.4747,73.5762,24.863,74.2187,24.8981,1.8072,0.4245,15.5496,4.7506,0.2287,0.0952,0.0947,0.0533,0.0956,0.0615,0.1107,0.0735,0,0,0.1575,0.0352,0.0231,0.0053,0.0331,0.0075,0.0009,0.0002,0.7432,0.166,0,0,0.1899,0.0424,0.0092,0.0022,0.0118,0.0028,0.0001,0,0.7722,0.1725
77,226.3096,50.7796,181.1095,41.0806,110.516,25.8733,56.8423,13.6023,172.2887,39.1679,47.9283,11.6534,197.3908,44.6658,59.3504,14.1779,31.9185,8.2935,27.3839,7.4828,18.8795,4.4754,73.5791,24.8602,74.2233,24.893,1.8629,0.4418,14.8786,4.7207,0.2256,0.0944,0.1072,0.0584,0.1032,0.0638,0.1323,0.0735,0,0,0.1562,0.0349,0.0238,0.0054,0.0341,0.0078,0.0009,0.0002,0.7427,0.1659,0,0,0.1882,0.042,0.0103,0.0024,0.0133,0.0031,0.0001,0,0.7725,0.1726
