Time (s),T0 (C),U_T0 (C),T1 (C),U_T1 (C),T2 (C),U_T2 (C),T3 (C),U_T3 (C),T4 (C),U_T4 (C),T5 (C),U_T5 (C),T6 (C),U_T6 (C),T7 (C),U_T7 (C),T8 (C),U_T8 (C),T9 (C),U_T9 (C),T10 (C),U_T10 (C),T12 (C),U_T12 (C),T13 (C),U_T13 (C),HFG_Floor_(kW.m-2),U_HFG_Floor_(kW.m-2),Press_(Pa),U_Press_(Pa),Phi_G_UP,U_Phi_G_UP,Phi_G_DOWN,U_Phi_G_DOWN,Phi_L_UP,U_Phi_L_UP,Phi_L_DOWN,U_Phi_L_DOWN,Upper_X_Fuel,U_Upper_X_Fuel,Upper_X_O2,U_Upper_X_O2,Upper_X_CO2,U_Upper_X_CO2,Upper_X_H2O,U_Upper_X_H2O,Upper_X_CO,U_Upper_X_CO,Upper_X_N2,U_Upper_X_N2,Lower_X_Fuel,U_Lower_X_Fuel,Lower_X_O2,U_Lower_X_O2,Lower_X_CO2,U_Lower_X_CO2,Lower_X_H2O,U_Lower_X_H2O,Lower_X_CO,U_Lower_X_CO,Lower_X_N2,U_Lower_X_N2
60,249.2161,41.9415,135.9899,27.1049,70.0951,14.8663,59.0577,12.06,171.9708,33.6302,50.0797,11.3338,253.3756,47.2709,61.6872,13.7325,33.7999,8.1301,29.7605,6.7172,22.7698,4.2676,92.7462,18.4963,86.4469,18.0715,1.9911,0.4236,-1.7875,2.5591,0.3451,0.1215,0.1009,0.0635,0.167,0.1333,0.0792,0.0593,0,0,0.1531,0.0248,0.0378,0.0243,0.0558,0.0385,0.001,0.0002,0.8194,0.1843,0.0008,0.0015,0.2066,0.0327,0.0005,0.0001,0.0004,0.0002,0,0.0001,0.7806,0.1236
61,250.4034,41.8653,138.3389,27.7167,70.8321,14.8476,59.4028,12.0368,174.0527,33.7363,50.531,11.3799,256.2253,47.4789,62.3128,13.78,33.7962,8.1295,29.7599,6.7174,22.7697,4.2677,92.7503,18.4951,86.4473,18.0755,2.0781,0.4414,128.4009,72.7256,0.365,0.1757,0.082,0.058,0.1822,0.1259,0.0958,0.0667,0,0,0.153,0.0247,0.0378,0.0244,0.0559,0.0386,0.001,0.0002,0.8194,0.1846,0.0008,0.0014,0.2067,0.0327,0.0005,0.0001,0.0004,0.0002,0,0.0001,0.7809,0.1237
62,253.0872,42.3149,146.6857,29.3411,72.172,15.2523,59.8979,12.0821,176.1879,33.9791,51.0481,11.4796,259.238,47.8685,62.9915,13.8928,33.8003,8.1283,29.76,6.7174,22.7712,4.2676,92.7493,18.4935,86.4472,18.0742,2.1871,0.4693,133.3177,37.3585,0.3087,0.1313,0.0949,0.0609,0.1683,0.1406,0.1187,0.0623,0,0,0.153,0.0247,0.0378,0.0243,0.0559,0.0386,0.001,0.0002,0.8194,0.1846,0.0008,0.0015,0.2067,0.0327,0.0005,0.0001,0.0004,0.0003,0,0.0001,0.7811,0.1237
63,255.4856,42.6815,157.1812,29.9231,74.8179,15.8864,60.961,12.3043,178.1975,34.1341,51.5973,11.5461,262.1915,48.2098,63.6729,13.9608,33.799,8.1282,29.7607,6.7158,22.7728,4.2676,92.752,18.4933,86.4477,18.0743,2.2578,0.4655,118.8352,32.9223,0.3259,0.1451,0.0917,0.0612,0.1872,0.1311,0.1294,0.0636,0,0,0.1528,0.0247,0.0379,0.0243,0.056,0.0385,0.001,0.0002,0.8192,0.1845,0.0007,0.0014,0.2067,0.0327,0.0005,0.0001,0.0004,0.0003,0,0.0001,0.7812,0.1237
64,257.9521,43.1814,166.2304,30.9712,77.5839,16.4033,62.3263,12.6329,179.9538,34.2917,52.1096,11.6163,265.0026,48.5215,64.2898,14.0326,33.7972,8.1277,29.761,6.7154,22.7725,4.2686,92.7488,18.4943,86.4472,18.074,2.3588,0.481,87.8738,22.6356,0.3481,0.127,0.0962,0.0567,0.1969,0.1283,0.119,0.0638,0,0,0.1526,0.0247,0.038,0.0243,0.0561,0.0385,0.001,0.0002,0.8188,0.1846,0.0007,0.0013,0.2067,0.0327,0.0006,0.0001,0.0004,0.0003,0,0.0001,0.7815,0.1238
65,261.2148,43.5581,177.5474,32.2995,81.7815,17.3934,63.9539,12.9489,182.0726,34.5239,52.7444,11.7083,268.3117,48.8183,65.0351,14.1361,33.7982,8.1252,29.7607,6.7149,22.7727,4.268,92.7501,18.4954,86.4467,18.0747,2.4273,0.4803,82.1624,26.6144,0.329,0.1634,0.0855,0.0617,0.1944,0.1297,0.1321,0.0723,0,0,0.1521,0.0246,0.0382,0.0244,0.0564,0.0386,0.001,0.0002,0.8184,0.185,0.0006,0.0012,0.2067,0.0327,0.0007,0.0002,0.0005,0.0003,0,0.0001,0.782,0.1239
66,264.4147,43.8877,187.0706,33.4423,85.7697,17.8159,65.4534,13.16,184.1894,34.6746,53.4166,11.7946,271.8129,49.19,65.8185,14.2224,33.7995,8.1254,29.7629,6.7161,22.7765,4.2684,92.753,18.4954,86.4493,18.0738,2.4731,0.5058,63.5837,20.4537,0.3213,0.1219,0.0821,0.0652,0.2349,0.2283,0.1381,0.074,0,0,0.1515,0.0245,0.0385,0.0245,0.057,0.039,0.001,0.0002,0.8183,0.1856,0.0004,0.0009,0.2067,0.0327,0.0009,0.0003,0.0006,0.0005,0,0.0001,0.783,0.124
67,268.1051,44.6139,194.486,34.4698,92.083,19.2335,67.2293,13.6713,186.7173,35.0464,54.2411,11.969,275.7817,49.7773,66.7732,14.4021,33.7991,8.1246,29.764,6.7153,22.7791,4.2694,92.7541,18.4954,86.4484,18.0737,2.5531,0.5109,46.2144,12.6823,0.3189,0.1348,0.0998,0.0662,0.1966,0.1337,0.1335,0.0749,0,0,0.1506,0.0243,0.0391,0.0248,0.0578,0.0396,0.001,0.0002,0.8183,0.1871,0.0001,0.0005,0.2065,0.0327,0.0013,0.0005,0.0011,0.0008,0,0.0001,0.7849,0.1244
68,270.9857,45.0902,199.0817,34.8312,99.653,20.3979,68.7603,13.9305,188.8941,35.2624,54.9698,12.0724,279.0312,50.1473,67.6171,14.4976,33.7962,8.1221,29.7623,6.7137,22.7793,4.2706,92.7517,18.4948,86.4501,18.0725,2.6588,0.5351,41.9935,12.2928,0.3657,0.1475,0.1175,0.07,0.2635,0.193,0.1128,0.0749,0,0,0.1496,0.0242,0.0398,0.0253,0.059,0.0404,0.001,0.0002,0.8188,0.1888,0,0.0001,0.206,0.0326,0.0021,0.0008,0.0021,0.0011,0,0.0001,0.7878,0.1249
69,272.992,45.27,204.1335,35.2284,106.6766,21.7163,70.2211,14.2365,190.8506,35.5091,55.6682,12.1851,282.0582,50.5107,68.4336,14.6285,33.797,8.122,29.7621,6.7139,22.7812,4.2705,92.7537,18.4949,86.4493,18.0719,2.7301,0.5444,37.8702,11.4878,0.3284,0.1408,0.1198,0.0655,0.1689,0.1441,0.1396,0.0789,0,0,0.1483,0.024,0.0406,0.0258,0.0602,0.0414,0.001,0.0002,0.8191,0.191,0,0,0.2052,0.0325,0.0031,0.001,0.0036,0.0015,0,0.0001,0.7918,0.1255
