Time (s),T0 (C),U_T0 (C),T1 (C),U_T1 (C),T2 (C),U_T2 (C),T3 (C),U_T3 (C),T4 (C),U_T4 (C),T5 (C),U_T5 (C),T6 (C),U_T6 (C),T7 (C),U_T7 (C),T8 (C),U_T8 (C),T9 (C),U_T9 (C),T10 (C),U_T10 (C),T12 (C),U_T12 (C),T13 (C),U_T13 (C),HFG_Floor_(kW.m-2),U_HFG_Floor_(kW.m-2),Press_(Pa),U_Press_(Pa),Phi_G_UP,U_Phi_G_UP,Phi_G_DOWN,U_Phi_G_DOWN,Phi_L_UP,U_Phi_L_UP,Phi_L_DOWN,U_Phi_L_DOWN,Upper_X_Fuel,U_Upper_X_Fuel,Upper_X_O2,U_Upper_X_O2,Upper_X_CO2,U_Upper_X_CO2,Upper_X_H2O,U_Upper_X_H2O,Upper_X_CO,U_Upper_X_CO,Upper_X_N2,U_Upper_X_N2,Lower_X_Fuel,U_Lower_X_Fuel,Lower_X_O2,U_Lower_X_O2,Lower_X_CO2,U_Lower_X_CO2,Lower_X_H2O,U_Lower_X_H2O,Lower_X_CO,U_Lower_X_CO,Lower_X_N2,U_Lower_X_N2
60,202.798,56.7028,113.3806,40.4359,65.2752,20.8707,54.3594,17.1934,142.1819,41.4851,44.1854,14.7373,162.5833,46.595,60.7295,19.0091,26.9992,8.6072,24.4498,7.4808,18.6423,5.4881,81.8071,25.2675,83.7226,24.3124,1.9265,0.5929,-0.9812,2.1384,0.2427,0.1152,0.5391,0.5864,0.1906,0.2326,0.6265,0.5816,0,0,0.1546,0.0428,0.0249,0.007,0.0269,0.0075,0.0012,0.0004,0.7287,0.2016,0.0003,0.0004,0.195,0.0539,0.0005,0.0002,0.0004,0.0003,0.0001,0.0001,0.7382,0.2042
61,204.4346,57.1756,115.1654,41.1367,65.8769,21.0561,54.6239,17.3017,143.952,41.9527,44.5835,14.8633,164.5975,47.1335,61.4616,19.2226,27.0005,8.6089,24.4545,7.4823,18.6426,5.4899,81.8095,25.2592,83.7287,24.3118,1.9186,0.5971,94.379,69.9501,0.2636,0.1092,0.4874,0.5618,0.1522,0.0967,0.727,0.5884,0,0,0.1546,0.0428,0.0249,0.007,0.0269,0.0075,0.0012,0.0004,0.7288,0.2016,0.0003,0.0005,0.195,0.0539,0.0005,0.0002,0.0004,0.0003,0.0001,0.0001,0.7381,0.2042
62,206.1314,57.5631,118.6228,42.4264,66.7866,21.2653,55.023,17.3728,145.4885,42.3243,44.9557,14.9738,166.4088,47.5986,62.1047,19.3892,26.9987,8.6046,24.4518,7.4813,18.6438,5.4897,81.805,25.2666,83.7353,24.3138,1.9977,0.62,93.8124,31.2762,0.2537,0.1068,0.4907,0.5435,0.1605,0.1122,0.4649,0.563,0,0,0.1546,0.0428,0.0249,0.007,0.0269,0.0075,0.0012,0.0004,0.7289,0.2016,0.0003,0.0005,0.195,0.0539,0.0005,0.0002,0.0004,0.0003,0.0001,0.0001,0.7381,0.2042
63,207.6835,57.9382,126.1881,44.4193,69.5716,22.3217,55.6901,17.5924,147.4383,42.8176,45.4656,15.1267,168.8049,48.253,62.9365,19.6135,26.9956,8.606,24.452,7.4812,18.6417,5.4882,81.8069,25.2681,83.74,24.3165,2.0717,0.6336,93.7371,31.6204,0.303,0.1943,0.419,0.5459,0.1292,0.1213,0.5136,0.578,0,0.0001,0.1545,0.0428,0.0249,0.007,0.0269,0.0075,0.0012,0.0004,0.7285,0.2015,0.0003,0.0004,0.195,0.0539,0.0005,0.0002,0.0005,0.0003,0.0001,0.0001,0.7383,0.2042
64,210.0417,58.6283,132.465,46.4812,72.3402,23.2806,56.7704,17.8849,149.2419,43.2088,45.9711,15.252,171.1465,48.8096,63.7538,19.8025,27.0008,8.6076,24.4564,7.4823,18.6457,5.4884,81.818,25.2724,83.7483,24.3166,2.1376,0.6547,68.6706,22.6065,0.293,0.1341,0.4531,0.5491,0.1679,0.1355,0.4841,0.5769,0,0,0.1544,0.0427,0.025,0.007,0.027,0.0076,0.0012,0.0004,0.7285,0.2015,0.0003,0.0005,0.195,0.0539,0.0005,0.0002,0.0005,0.0003,0.0001,0.0001,0.7383,0.2042
65,212.9194,59.3492,140.1584,47.0295,75.3031,24.1826,58.1333,18.2543,151.0678,43.5787,46.4828,15.3856,173.4916,49.2999,64.55,19.9848,26.9964,8.6059,24.4529,7.4817,18.6416,5.4888,81.8258,25.2736,83.7528,24.3184,2.2011,0.665,65.4507,23.2105,0.2597,0.1199,0.5304,0.5677,0.1492,0.1554,0.4913,0.577,0.0001,0.0002,0.1541,0.0427,0.0251,0.007,0.0271,0.0076,0.0012,0.0004,0.728,0.2014,0.0002,0.0003,0.195,0.0539,0.0006,0.0003,0.0005,0.0003,0.0001,0.0001,0.7384,0.2043
66,215.4081,60.0544,146.5551,48.3797,79.0086,25.4193,59.6122,18.738,152.9376,44.086,47.0492,15.5736,175.8234,49.9428,65.3842,20.2427,27.001,8.6064,24.4584,7.4815,18.6494,5.4906,81.8338,25.2746,83.7619,24.3189,2.224,0.6713,59.0639,21.0372,0.2696,0.104,0.5918,0.5897,0.2176,0.244,0.5933,0.613,0.0001,0.0002,0.1537,0.0426,0.0253,0.0071,0.0273,0.0076,0.0012,0.0004,0.7276,0.2013,0,0.0002,0.1949,0.0539,0.0007,0.0003,0.0006,0.0004,0.0001,0.0001,0.7387,0.2044
67,217.9154,60.7453,152.3599,49.0551,82.6773,26.499,60.7839,19.0558,154.6427,44.5274,47.5804,15.7426,177.9603,50.493,66.1653,20.4612,27.0012,8.6075,24.4583,7.4824,18.645,5.4894,81.8357,25.2739,83.7644,24.32,2.3067,0.6975,44.2963,14.4706,0.2653,0.1301,0.6084,0.6104,0.119,0.098,0.4562,0.5782,0.0003,0.0005,0.1531,0.0424,0.0256,0.0072,0.0276,0.0077,0.0013,0.0004,0.7271,0.2011,0,0,0.1948,0.0539,0.0009,0.0005,0.0008,0.0006,0.0001,0.0001,0.7395,0.2046
68,221.1677,61.5629,157.8053,50.3226,89.2786,28.5855,62.3373,19.5786,157.0192,45.1069,48.2972,15.9378,180.8531,51.2575,67.2212,20.7196,26.9962,8.6068,24.458,7.4818,18.646,5.4881,81.8384,25.2772,83.7725,24.3217,2.359,0.72,39.3116,13.3869,0.2768,0.1239,0.4693,0.573,0.1207,0.0931,0.4949,0.5697,0.0003,0.0005,0.1524,0.0422,0.026,0.0073,0.0281,0.0078,0.0013,0.0004,0.7267,0.201,0,0,0.1946,0.0538,0.0013,0.0009,0.0012,0.0009,0.0001,0.0001,0.741,0.205
69,223.8287,62.3217,162.2896,51.0863,96.2237,30.7683,63.5996,19.965,159.0094,45.5647,48.9393,16.1113,183.249,51.8433,68.1462,20.9402,27,8.6065,24.4568,7.4817,18.6474,5.488,81.8448,25.2769,83.7812,24.3225,2.44,0.7506,38.6243,13.0316,0.2698,0.1017,0.524,0.589,0.1152,0.0776,0.4412,0.5432,0.0005,0.0007,0.1516,0.042,0.0265,0.0074,0.0286,0.008,0.0013,0.0004,0.7262,0.2009,0,0,0.1942,0.0537,0.002,0.0013,0.0019,0.0014,0.0001,0.0001,0.7432,0.2056
70,226.6224,63.0772,165.69,51.4187,101.0528,31.3173,64.8296,20.2504,160.8549,46.0023,49.569,16.3119,185.6838,52.4485,69.0576,21.1852,27.0037,8.6088,24.4582,7.4826,18.6509,5.489,81.8511,25.2807,83.7883,24.3244,2.5295,0.7635,34.9455,10.7843,0.267,0.1365,0.526,0.5953,0.2078,0.2376,0.4908,0.5622,0.0009,0.001,0.1506,0.0417,0.027,0.0075,0.0292,0.0081,0.0013,0.0004,0.7256,0.2007,0,0,0.1936,0.0536,0.0028,0.0019,0.0028,0.0019,0.0002,0.0001,0.746,0.2064
